,TID,ALDER,CIVILSTAND,INDHOLD
220,2022K3,110 år,Ugift,0
221,2022K3,110 år,Gift/separeret,0
222,2022K3,111 år,Ugift,0
223,2022K3,111 år,Gift/separeret,0
224,2022K3,112 år,Ugift,0
225,2022K3,112 år,Gift/separeret,0
226,2022K3,113 år,Ugift,0
227,2022K3,113 år,Gift/separeret,0
228,2022K3,114 år,Ugift,0
229,2022K3,114 år,Gift/separeret,0
230,2022K3,115 år,Ugift,0
231,2022K3,115 år,Gift/separeret,0
232,2022K3,116 år,Ugift,0
233,2022K3,116 år,Gift/separeret,0
234,2022K3,117 år,Ugift,0
235,2022K3,117 år,Gift/separeret,0
236,2022K3,118 år,Ugift,0
237,2022K3,118 år,Gift/separeret,0
238,2022K3,119 år,Ugift,0
239,2022K3,119 år,Gift/separeret,0
240,2022K3,120 år,Ugift,0
241,2022K3,120 år,Gift/separeret,0
242,2022K3,121 år,Ugift,0
243,2022K3,121 år,Gift/separeret,0
244,2022K3,122 år,Ugift,0
245,2022K3,122 år,Gift/separeret,0
246,2022K3,123 år,Ugift,0
247,2022K3,123 år,Gift/separeret,0
248,2022K3,124 år,Ugift,0
249,2022K3,124 år,Gift/separeret,0
250,2022K3,125 år,Ugift,0
251,2022K3,125 år,Gift/separeret,0
